,city,lat,lng
0,Cairo,30.0444,31.2358
1,Lagos,6.455,3.3841
2,Kinshasa,-4.325,15.3222
3,Luanda,-8.8383,13.2344
4,Johannesburg,-26.2044,28.0456
5,Dar es Salaam,-6.8161,39.2803
6,Khartoum,15.5006,32.56
7,Douala,4.05,9.7
8,Nairobi,-1.2864,36.8172
9,Abidjan,5.3167,-4.0333
10,Mogadishu,2.0392,45.3419
11,Abuja,9.0667,7.4833
12,Antananarivo,-18.9333,47.5167
13,Lusaka,-15.4167,28.2833
14,Ouagadougou,12.3686,-1.5275
15,Yaoundé,3.8667,11.5167
16,Accra,5.55,-0.2
17,Harare,-17.8292,31.0522
18,Bamako,12.6458,-7.9922
19,Blantyre,-15.7861,35.0058
20,Port Harcourt,4.8242,7.0336
21,Brazzaville,-4.2694,15.2714
22,Lubumbashi,-11.6647,27.4794
23,Kampala,0.3136,32.5811
24,Conakry,9.5092,-13.7122
25,Dakar,14.6928,-17.4467
26,Mombasa,-4.05,39.6667
27,Maputo,-25.9667,32.5833
28,Kigali,-1.9536,30.0606
29,Bujumbura,-3.3833,29.3667
30,Tunis,36.8064,10.1817
31,Monrovia,6.3133,-10.8014
32,Libreville,0.3903,9.4542
33,Cotonou,6.3667,2.4333
34,Djibouti,11.5883,43.145
35,Maseru,-29.31,27.48
36,Cape Town,-33.9253,18.4239
37,Windhoek,-22.57,17.0836
38,Gaborone,-24.6581,25.9122
39,Mwanza,-2.5167,32.9
40,Durban,-29.8833,31.05
41,Arusha,-3.3667,36.6833
42,Serekunda,13.4333,-16.6667
43,Goma,-1.6794,29.2336
44,Zanzibar,-6.165,39.199